ep,rate,viewers,AD,post
1,2.1,4.32,1,0
2,2.1,4.47,1,0
3,1.91,3.747,1,0
4,1.65,3.545,1,0
5,1.85,3.861,1,0
6,1.73,3.502,1,0
7,2.13,4.364,1,0
8,2.38,5.004,1,0
9,2.54,5.263,1,0
10,2.2,4.35,1,0
11,1.52,3.3,1,0
12,1.36,2.714,1,0
13,1.37,2.7,1,0
14,1.4,2.794,1,0
15,1.19,2.681,1,0
16,1.15,2.363,1,0
17,1.16,2.403,1,0
18,1.26,2.511,1,0
19,1.15,2.4,1,0
20,1.22,2.365,1,0
21,1.3,2.62,1,0
22,1.3,2.66,1,0
23,1.5,3.03,1,0
1,2.6,5.23,0,0
2,2.5,5.2,0,0
3,2.47,4.866,0,0
4,1.99,4.185,0,0
5,2.25,4.462,0,0
6,2.23,4.585,0,0
7,2.69,5.361,0,0
8,3.04,6.366,0,0
9,3.07,5.885,0,0
10,2.69,5.222,0,0
11,1.97,4.106,0,0
12,2.2,4.559,0,0
13,2.35,4.621,0,0
14,2.24,4.379,0,0
15,2.13,4.168,0,0
16,2.26,4.773,0,0
17,2.12,4.386,0,0
18,2.06,4.019,0,0
19,2.25,4.401,0,0
20,2.07,4.159,0,0
21,2,3.881,0,0
1,0.67,1.094,1,1
2,0.61,1.145,1,1
3,0.6,1.218,1,1
4,0.57,1.161,1,1
5,0.63,1.308,1,1
6,0.6,1.098,1,1
7,0.59,1.1,1,1
8,0.61,1.149,1,1
9,0.57,1.148,1,1
10,0.6,1.106,1,1
11,0.56,1.015,1,1
12,0.6,1.11,1,1
13,0.62,1.179,1,1
14,0.45,0.913,1,1
15,0.55,1.113,1,1
1,4.6,8.567,0,1
2,4.6,8.567,0,1
3,1.9,3.63,0,1
4,2.49,4.739,0,1
5,1.83,3.633,0,1
6,2.22,4.457,0,1
7,2.29,4.435,0,1
8,2.84,5.528,0,1
9,2,4.12,0,1
10,1.62,3.194,0,1
11,1.39,2.813,0,1
12,1.17,2.508,0,1
13,2.07,3.981,0,1
14,1.67,3.449,0,1
15,1.48,3.114,0,1
16,1.65,3.301,0,1
17,1.6,3.173,0,1
18,1.7,3.68,0,1
19,1.3,2.85,0,1
